القطاع,الاختصار,التقييم,المعنى بالإنجليزية,المعنى بالعربية
التأمين وتكنولوجيا التأمين (InsurTech),TPA,10/10,Third Party Administrator,مسؤول الطرف الثالث (لإدارة المطالبات)
التأمين وتكنولوجيا التأمين (InsurTech),GWP,9.5/10,Gross Written Premium,إجمالي الأقساط المكتتبة
التأمين وتكنولوجيا التأمين (InsurTech),NWP,9/10,Net Written Premium,صافي الأقساط المكتتبة
التأمين وتكنولوجيا التأمين (InsurTech),PNC,10/10,Property and Casualty,تأمين الممتلكات والحوادث
التأمين وتكنولوجيا التأمين (InsurTech),ULI,9/10,Universal Life Insurance,التأمين الشامل على الحياة
التأمين وتكنولوجيا التأمين (InsurTech),WLI,8.5/10,Whole Life Insurance,التأمين مدى الحياة
التأمين وتكنولوجيا التأمين (InsurTech),BOLI,8.5/10,Bank-Owned Life Insurance,تأمين على الحياة مملوك للبنك
التأمين وتكنولوجيا التأمين (InsurTech),COLI,8.5/10,Corporate-Owned Life Insurance,تأمين على الحياة مملوك للشركة
التأمين وتكنولوجيا التأمين (InsurTech),IBNR,9.5/10,Incurred But Not Reported,خسائر متكبدة غير مبلغ عنها
التأمين وتكنولوجيا التأمين (InsurTech),BII,10/10,Business Interruption Insurance,تأمين انقطاع الأعمال
التأمين وتكنولوجيا التأمين (InsurTech),CGL,9.5/10,Commercial General Liability,المسؤولية العامة التجارية
التأمين وتكنولوجيا التأمين (InsurTech),ENO,10/10,Errors and Omissions,تأمين الأخطاء والسهو (للمهنيين)
التأمين وتكنولوجيا التأمين (InsurTech),BOP,9/10,Business Owner Policy,بوليصة أصحاب الأعمال
التأمين وتكنولوجيا التأمين (InsurTech),FID,8.5/10,Fidelity Bond,سندات الأمانة (تأمين ضد خيانة الأمانة)
التأمين وتكنولوجيا التأمين (InsurTech),GLI,9/10,General Liability Insurance,تأمين المسؤولية العامة
التأمين وتكنولوجيا التأمين (InsurTech),UIM,8.5/10,Underinsured Motorist,تأمين ضد السائقين غير المؤمن عليهم كفاية
التأمين وتكنولوجيا التأمين (InsurTech),PIP,9/10,Personal Injury Protection,حماية الإصابات الشخصية
التأمين وتكنولوجيا التأمين (InsurTech),LTC,9.5/10,Long-Term Care,تأمين الرعاية طويلة الأجل
التأمين وتكنولوجيا التأمين (InsurTech),EPL,9/10,Employment Practices Liability,تأمين مسؤولية ممارسات التوظيف
التأمين وتكنولوجيا التأمين (InsurTech),MGA,9.5/10,Managing General Agent,الوكيل العام الإداري
الشحن البحري واللوجستيات العالمية (Maritime),BOL,10/10,Bill of Lading,بوليصة الشحن
الشحن البحري واللوجستيات العالمية (Maritime),TEU,10/10,Twenty-foot Equivalent Unit,وحدة مكافئة لعشرين قدماً (قياس الحاويات)
